major_pin,contract_number,region,project_title,project_status,status,bid_opening_date,federal_funding,state_funding,local_funding,type_of_work,public_friendly_description,contract_award_date,contract_award_amount,approved_cost_changes,current_award_amount,estimated_or_actual_completed_date,schedule_performance,cost_performance,in_future_development_start_date,construction_start_date,construction_end_date,construction_amount
000616,D263845,10 LONG ISLAND,OP SHARED USE PATH TOBAY TO CAPTREE,"Construction of 3rd phase of 14 mile shared-use path along the north side of Ocean Parkway. Phase 3 extends between TOBAY and Captree State Park Towns of Oyster Bay, Islip and Babylon, Nassau and Suffolk Counties",Completed Project,04/17/2019,Yes,Yes,No,Bicycle Facility (Highway): New,"Project proposes to construct the 3rd phase of 14 mile shared-use path along the north side of Ocean Parkway. Phase 3 extends between Tobay Beach and Captree State Park in the Towns of Oyster Bay, Islip and Babylon, Nassau and Suffolk Counties.",2019-07-12T00:00:00.000,16193713,1387827.44,17581540.44,2020-11-25T00:00:00.000,GREEN,YELLOW,,,,
000822,,10 LONG ISLAND,South Ferry Dock at NY114 Improvements,"Improve South Ferry Dock at NY114 including reconstruction of the approach to meet the new dock elevation, drainage improvements, replacement of existing bulkhead and elevation of adjacent gravel parking area, Town of Southampton, Suffolk County.",In Development,Summer 2022,Yes,Yes,No,Ferry Terminal: Rehab,"This project proposes improvements to the South Ferry Dock at NY114 in the Town of Southampton in Suffolk County.  The work includes reconstruction of the approach roadway to meet the new dock elevation, construction of new bulkhead, raising the adjacent",,,,,,,,Spring 2020,Summer 2022,Summer 2023,3100000
000823,,10 LONG ISLAND,NY114 Pavement Resurfacing Stephen Hands Path to South Ferry,"NY114 Pavement Resurfacing from Stephen Hands Path to South Ferry, Towns of East Hampton and Southampton, Suffolk County.",In Development,Summer 2021,Yes,Yes,No,Pavement: Mill and Fill,"This project proposes to restore the pavement riding surface on NY114 (Sag Harbor Turnpike) from Stephen Hands Path to the South Ferry in the Towns of East Hampton and Southampton, Suffolk County to a smooth and distress free condition by milling and resu",,,,,,,,Spring 2020,Fall 2021,Winter 2022/2023,9600000
001145,D264139,10 LONG ISLAND,NY231 LAKE TO I495 CONCRETE PAVEMENT REPAIR,"Concrete Pavement repair including joint sealing, diamond grinding, etc. at NY231 from Lake Avenue to I495, Towns of Babylon & Huntington, Suffolk County.",Under Construction,01/09/2020,Yes,Yes,No,"Pavement: Concrete Pavement Repair, Heavy",This project proposes to provide concrete pavement repairs on NY231 (Deer Park Avenue) between Lake Avenue and Interstate 495 (Long Island Expressway) to improve its efficiency and provide a smoother driving surface to help assure the continued safety of,2020-03-16T00:00:00.000,4560000,283654.94,4843654.94,2021-07-06T00:00:00.000,GREEN,YELLOW,Fall 2018,,,
001627,D263744,10 LONG ISLAND,NY112 RECONS I495 TO GRANNY RD,"Reconstruction of NY112 between I495 and Granny Rd including safety improvements at the intersection of NY112 and Horseblock Rd (CR16), improved bike/ped facilities, center left turn lane and 5 foot wide shoulders.  Town of Brookhaven, Suffolk County",Under Construction,06/21/2018,Yes,Yes,No,"Pavement: Reconstruction, Concrete","This project proposes to provide safety improvements at the intersection of NY112 and Horseblock Rd (CR16), widening of NY112 between I495 (Long Island Expressway) and Granny Rd, to provide 12 foot travel lanes in both directions, a 13 foot two way left t",2018-07-23T00:00:00.000,32687178,-1029161.6,31658016.4,2021-09-30T00:00:00.000,YELLOW,GREEN,Fall 2014,,,
001767,D264097,10 LONG ISLAND,RMC/FIRE ISLAND INLET BRIDGE REHAB,"Rehabilitate the Robert Moses Causeway bridge over Fire Island Inlet including painting structural steel aboved the deck & spot repairs to maintain the structural integrity & safety for the traveling public, Town of Islip, Suffolk County. BIN # 10587",Under Construction,01/09/2020,Yes,Yes,No,Bridge: Painting,"This project proposes to rehabilitate the Robert Moses Causeway over the Fire Island Inlet bridge leading to Robert Moses State Park in the Town of Islip, Suffolk County. The work includes painting of the structural steel above the deck and spot repairs w",2020-03-10T00:00:00.000,17900000,0,17900000,2021-12-01T00:00:00.000,GREEN,GREEN,Summer 2018,,,
001768,,10 LONG ISLAND,RMC Rustic Rail Replacement NY27A to SSP,"RMC from NY27A to SSP - Replace existing rustic guide rail, Town of Islip, Suffolk County",In Development,Summer 2022,No,Yes,No,Guiderail/Median Barrier: Rehab/Improve,This project proposes to replace the existing rustic guide rail on Robert Moses Causeway from Montauk Highway (NY27A) to Southern State Parkway in the Town of Islip in Suffolk County. The rustic guide rail will be replaced with guide rail that meet curren,,,,,,,,Spring 2020,Summer 2022,Summer 2023,4600000
003014,D264134,10 LONG ISLAND,NY454 DRAINAGE FEUEREISEN TO JOHNSON,"DRAINAGE RECONSTRUCTION ON NY454 BETWEEN FEUEREISEN AVE AND JOHNSON AVE INCLUDING A NEW CLOSED CONDUIT DRAINAGE SYSTEM AND RECHARGE BASINS IN ISLIP TOWN, SUFFOLK COUNTY.",Under Construction,02/06/2020,Yes,Yes,No,Drainage: New/Improve,"This project proposes to upgrade the drainage with the installation of a new drainage system and recharge basins on NY Route 454 (Veterans Memorial Highway) between Feuereisen and Johnson Avenues in the Town of Islip, Suffolk County",2020-03-30T00:00:00.000,10849000,5090.93,10854090.93,2021-10-31T00:00:00.000,GREEN,GREEN,Fall 2005,,,
004241,D264048,10 LONG ISLAND,NY25 PEDESTRIAN IMPROVEMENTS,"Pedestrian safety improvements along  the NY25 corridor from NYC line to Orient Point, Towns of Hempstead, North Hempstead, Oyster Bay, Huntington, Smithtown, Brookhaven, Riverhead and Southold in Nassau and Suffolk Counties.",Under Construction,10/10/2019,Yes,Yes,No,Pedestrian Facility (Highway): Improve/Rehab,"This project proposes to address pedestrian safety improvements along NY25 between the New York City line and Orient Point, in the Towns of Hempstead, North Hempstead, Oyster Bay, Huntington, Smithtown, Brookhaven, Riverhead and Southold in Nassau and Suf",2019-11-26T00:00:00.000,9562797.95,-0.01,9562797.94,2021-04-11T00:00:00.000,GREEN,GREEN,Summer 2016,,,
004242,D264049,10 LONG ISLAND,NY25/NY107 BRIDGE REHAB,"Rehabilitation NY25 over NY107 bridge including joint replace, wearing &pedestal replace, concrete deck&approach slab repair, substructure concrete repairs, new bridge rail, new sidewalk,steel repair & new overlay.BIN 1018219,Town of Oyster Bay,Nassa",Under Construction,10/30/2019,Yes,Yes,No,Bridge: General Rehab (Preservation),"This project proposes to rehabilitate the bridge that carries Jericho Turnpike (NY25) over Cedar Swamp Road (NY107) in the Town of Oyster Bay in Nassau County. The work includes joint replacement, bearing and pedestal replacement, concrete deck and approa",2020-02-28T00:00:00.000,11986256.64,47084.65,12033341.29,2022-05-01T00:00:00.000,GREEN,GREEN,Spring 2018,,,
